config,mean_tok_s,min_tok_s,max_tok_s,std_tok_s,runs,total_draft,total_accept,accept_rate_pct
baseline,135.69397214293275,135.31427416746763,136.16316704633496,0.31716859254578866,10,0,0,
baseline-rerun,135.50278352450712,135.12807438890582,136.0418355852792,0.28230280198022445,10,0,0,
draft-qwen3-0.6b,135.28815130717754,134.98907938347787,135.4907678848943,0.19162496748923033,10,0,0,
ngmod-n32,133.66118788230543,133.52222277114691,133.89193046724267,0.1062260449400614,10,0,0,
baseline-1000tok,133.18627150029414,132.7230197990892,133.99041627870005,0.41296699012267823,10,0,0,
ngram-mod-n24,131.11414689798735,129.55135502080594,136.13097614985296,2.5566005139928,10,35,35,100.0
ngmod-n24-1000tok,131.05742460830749,124.08767000169469,138.25521913452232,3.8965802172177737,10,175,175,100.0
ngmod-n20,130.0499645232512,128.82010658575618,134.09816969408183,2.071792739632879,10,67,67,100.0
ngmod-n8,129.98873226632708,119.96645737851696,134.30306112490453,4.709064220148349,10,138,138,100.0
ngmod-n16,129.97450838388554,123.83149505478926,134.0574820608746,2.597777711286054,10,102,102,100.0
ngmod-n12,129.64366124201484,119.76626415886756,134.43528442249067,4.703796721397655,10,128,128,100.0
ngcache-kv-fp16,121.2664129814638,67.27089383509347,137.91372393258226,27.582331316632335,10,88,88,100.0
draft-q35-08b-max8,121.0551702798821,59.22892235147509,136.16724605829864,30.870943542459568,10,270,270,100.0
draft-q35-08b-max16,120.96647480194424,59.58358226029922,136.05250901234496,30.29638441342776,10,278,278,100.0
draft-q35-08b-max32,120.28195902995245,59.518152937448995,134.81722155188103,29.715093381848682,10,280,280,100.0
draft-q35-08b-1000tok,120.2143520579801,64.77242904198047,133.9285207594882,28.306436491746787,10,937,937,100.0
ngram-cache,119.14420603162232,65.26205324861449,136.15568949241157,27.766655932027813,10,96,96,100.0
ngcache-rerun,118.83950773968544,65.56484220837251,135.70614011478025,27.524352625303383,10,96,96,100.0
ngcache-1000tok,115.86395283318276,59.99286444870246,133.6488553768369,28.706964121812327,10,317,317,100.0
